# Dishes
Dish,Portions,Base yield,Scale factor
DISH Pole Position Burger,300.000,1.000 portion,300.000

# Ingredients (aggregated)
Ingredient,Unit,Total Qty,Unit Cost,Total Cost
Honey,kg,36.000,26.00,936.00
Lemon Juice,liter,1.600,8.00,12.80
Mozzarella Cheese,kg,60.000,22.00,1320.00
Olive Oil,liter,20.000,18.00,360.00
Oregano,kg,8.000,30.00,240.00
Pepper,kg,4.000,32.00,128.00
Pepperoni,kg,40.000,28.00,1120.00
Red Pepper Flakes,kg,2.000,28.00,56.00
Salt,kg,4.000,2.00,8.00
Tomato,kg,300.000,5.00,1500.00
Tomato Paste,kg,40.000,12.00,480.00

"# Subrecipes (aggregated, for bulk prep)"
Subrecipe,Unit,Total Qty
BULK Hot Honey Drizzle,portion,10.000
BULK Pizza Sauce,portion,50.000
Dish,Portions,Base yield,Scale factor
DISH Turbo Hammour Popcorn,150.000,1.000 portion,150.000

# Ingredients (aggregated)
Ingredient,Unit,Total Qty,Unit Cost,Total Cost
Apple Cider Vinegar,liter,6.000,10.00,60.00
Bay Leaves,kg,0.024,38.00,0.91
Beer,liter,42.000,9.00,378.00
Cornstarch,kg,9.450,6.00,56.70
Dijon Mustard,kg,0.473,16.00,7.56
Flour,kg,47.250,4.00,189.00
Garlic,kg,0.693,6.00,4.16
Garlic Powder,kg,0.330,22.00,7.26
Hammour,kg,22.500,38.00,855.00
Lemon,kg,7.500,7.00,52.50
Lemon Juice,liter,2.835,8.00,22.68
Lemon Zest,kg,1.552,25.00,38.81
Mayonnaise,kg,26.775,12.00,321.30
Mustard Seeds,kg,3.600,16.00,57.60
Onion Powder,kg,0.210,22.00,4.62
Pepper,kg,2.164,32.00,69.26
Salt,kg,5.498,2.00,11.00
Shallots,kg,0.600,14.00,8.40
Sugar,kg,1.800,3.00,5.40
Water,liter,18.000,0.10,1.80

"# Subrecipes (aggregated, for bulk prep)"
Subrecipe,Unit,Total Qty
BULK Batter,portion,15.000
BULK Citrus Aioli,portion,4.500
BULK Lemon Pepper Seasoning,portion,1.500
BULK Pickled Mustard Seeds,portion,1.500
Dish,Portions,Base yield,Scale factor
DISH Chequered Flag Chicken Goujons,200.000,1.000 portion,200.000

# Ingredients (aggregated)
Ingredient,Unit,Total Qty,Unit Cost,Total Cost
Chicken Goujons,kg,30.000,22.00,660.00
Dijon Mustard,kg,0.630,16.00,10.08
Garlic,kg,0.924,6.00,5.54
Garlic Powder,kg,0.160,22.00,3.52
Lemon,kg,10.000,7.00,70.00
Lemon Juice,liter,3.780,8.00,30.24
Lemon Zest,kg,2.070,25.00,51.75
Mayonnaise,kg,35.700,12.00,428.40
Pepper,kg,2.526,32.00,80.83
Potato Chips,kg,20.000,16.00,320.00
Salt,kg,4.210,2.00,8.42

"# Subrecipes (aggregated, for bulk prep)"
Subrecipe,Unit,Total Qty
BULK Citrus Aioli,portion,6.000
BULK Lemon Pepper Seasoning,portion,2.000
